id,name,kind,categories,client_scene_factory_supported,description,source_files,confidence
1,秋天的气息,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
2,冬天的风景,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
3,春天的绿叶,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
4,夏天的海边,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
5,婚礼堂殿,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
6,骷颅海岛,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
7,云海风景,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
8,花果山,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
9,未来科技,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
12,灯光四射,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
13,明星登场,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
14,结婚典礼,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
15,海盗进行曲,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
17,拉拉队,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
18,热情彩带,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
19,棉绒帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
21,八路军帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
22,印第安族长帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
23,斗笠,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
25,蝴蝶翅膀,avatar-cosmetic,fpack,true,,object/itemCFG.py,confirmed-client-config
26,恶魔翅膀,avatar-cosmetic,fpack,true,,object/itemCFG.py,confirmed-client-config
27,天使翅膀,avatar-cosmetic,fpack,true,,object/itemCFG.py,confirmed-client-config
29,冒泡泡,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
31,落叶片片,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
32,白云飘飘,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
33,雪花朵朵,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
34,机器世界,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
35,花环帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
36,触角帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
37,公主帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
38,羽毛帽,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
39,杂物帽,avatar-cosmetic,thadorn,false,,object/itemCFG.py,confirmed-client-config
40,阳光帽-男,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
41,阳光帽-女,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
42,爱心,avatar-cosmetic,thadorn,true,,object/itemCFG.py,confirmed-client-config
43,淑女帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
44,鸟巢帽,avatar-cosmetic,thadorn,true,,object/itemCFG.py,confirmed-client-config
45,爆炸头,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
46,宝石皇冠,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
47,蝴蝶结,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
48,热情香吻,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
49,中华古民居,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
50,国旗飘飘,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
51,飞天章鱼,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
52,足球的背景,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
53,足球的边框,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
54,足球杯,avatar-cosmetic,thadorn,false,,object/itemCFG.py,confirmed-client-config
55,森林小径,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
56,动物欢乐会,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
57,龟仙背壳,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
58,兔子耳朵,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
59,核心玩家,profile-decoration,enter,false,,object/itemCFG.py,confirmed-client-config
60,内测玩家,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
61,钻石雨,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
62,宝石背景,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
63,宝石边框,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
64,传说中的包子店,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
65,包子山,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
68,钟乳洞,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
69,中华青龙堂,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
70,小木屋,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
83,皇帝帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
84,搞鬼便便帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
91,双节棍,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
92,圣诞包袱,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
99,单人探险卡,account-item,item,false,,object/itemCFG.py,confirmed-client-config
100,防踢卡,account-item,platform,false,,object/itemCFG.py,confirmed-client-config
106,快乐QQ糖,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
107,熊出没,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
109,鬼魂,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
110,玫瑰花园,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
111,玫瑰翅膀,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
112,鸡翅膀,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
113,玫瑰花雨,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
114,玫瑰花环,avatar-cosmetic,thadorn,true,,object/itemCFG.py,confirmed-client-config
115,包子头饰,avatar-cosmetic,mouth,true,,object/itemCFG.py,confirmed-client-config
116,鸡头饰,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
117,梦中情人,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
118,大众情人,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
119,星光糖泡,account-item,bomb,true,,object/itemCFG.py,confirmed-client-config
120,幻影,account-item,huanying,true,,object/itemCFG.py,confirmed-client-config
121,VIP卡,account-item,card,false,,object/itemCFG.py,confirmed-client-config
125,中华武道场,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
126,流行时尚,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
127,武林擂台,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
128,森林浴,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
129,举牌女郎,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
130,来电了,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
131,钻石迷情,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
132,人猿泰山,profile-decoration,frame,false,,object/itemCFG.py,confirmed-client-config
133,精灵翅膀,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
134,尚方宝剑,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
135,日月乾坤刀,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
136,钻石花冠,avatar-cosmetic,eye,false,,object/itemCFG.py,confirmed-client-config
137,恶魔之角,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
138,天使之环,avatar-cosmetic,thadorn,false,,object/itemCFG.py,confirmed-client-config
140,3月首日封,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
147,凤凰翅膀,avatar-cosmetic,fpack,false,,object/itemCFG.py,confirmed-client-config
148,羽林披风,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
149,骁骑披风,avatar-cosmetic,npack,false,,object/itemCFG.py,confirmed-client-config
150,冥袭披风,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
151,影羽披风,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
152,太御披风,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
153,红唇糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
154,小鸡多米糖泡,account-item,bomb,false,,object/itemCFG.py,confirmed-client-config
155,紫菜杂面,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
156,火腿面,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
157,鱼头汤面,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
158,炸酱面,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
159,担担面,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
160,青蛙汤,avatar-cosmetic,cap,false,,object/itemCFG.py,confirmed-client-config
161,僵尸帽,avatar-cosmetic,cap,true,,object/itemCFG.py,confirmed-client-config
162,旅行包,avatar-cosmetic,npack,true,,object/itemCFG.py,confirmed-client-config
163,枯井幽魂,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
164,游乐园,profile-decoration,bg,true,,object/itemCFG.py,confirmed-client-config
165,僵尸舞,profile-decoration,frame,true,,object/itemCFG.py,confirmed-client-config
166,移民证,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
167,世界地图,profile-decoration,bg,false,,object/itemCFG.py,confirmed-client-config
